5441705,1803493,"3,017314179","662,33",10075310,"0,00006573792767",,10075310,0,246935,10075310,"0,0245089233",7832,10075310,"0,0007773458087"
,,#DIV/0!,"118,5",1030720,"0,0001149681776",2990,1030720,"0,002900884818",2697,1030720,"0,00261661751",1123,1030720,"0,001089529649"
,,#DIV/0!,"37,358",305899,"0,0001221252766",,305899,0,2057,305899,"0,006724441727",568,305899,"0,001856822023"
140210,,#DIV/0!,"35,29",193329,"0,0001825385741",3149,193329,"0,01628829612",,193329,0,,193329,0
,,#DIV/0!,"469,36",134196,"0,003497570717",,134196,0,5980,134196,"0,04456168589",195,134196,"0,001453098453"
,,#DIV/0!,"326,81",2.765.487,"0,0001181744843",  67.416 ,2.765.487,"0,02437762318",45.437,2.765.487,"0,01643001757",24.351,2.765.487,"0,008805320727"
,,#DIV/0!,"50160,05",3344421,"0,01499812673",,3344421,0,70223,3344421,"0,02099705749",291,3344421,"0,00008701057672"
,,,"45,25",293704,"0,0001540666794",,293704,,3924,293704,"0,01336039005",115,293704,"0,0003915506769"
,,#DIV/0!,"258,82",199723,"0,001295894814",,199723,0,,199723,0,,199723,0
104510,,#DIV/0!,63366,132498,"0,478241181",,132498,0,,132498,0,,132498,0
,,#DIV/0!,"  265,10 ",#REF!,#REF!,,#REF!,#REF!,  70.546 ,#REF!,#REF!,  2.000 ,#REF!,#REF!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,#DIV/0!,6340,293282,"0,02161741941",5295,293282,"0,01805429587",197,293282,"0,0006717084581",58,293282,"0,0001977618811"
,,#DIV/0!,8043,125690,"0,06399077094",1973,125690,"0,01569735062",1943,125690,"0,01545866815",572,125690,"0,004550879147"
,,#DIV/0!,,191994,0,,191994,0,,191994,0,,191994,0
,,#DIV/0!,,2470802,0,,2470802,0,12299,2470802,"0,004977735974",,2470802,0
,,#DIV/0!,,1463094,0,,1463094,0,,1463094,0,,1463094,0
,,#DIV/0!,,245104,0,,245104,0,,245104,0,,245104,0
,,#DIV/0!,,227200,0,,227200,0,,227200,0,,227200,0
,,#DIV/0!,,1233695,0,,1233695,0,1272,1233695,"0,001031049003",1030,1233695,"0,0008348903092"
673632,75212,"8,956443121",318580,1.629.849,"0,1954659603",266126,1.629.849,"0,1632826108",2293,1.629.849,"0,001406878797",13261,1.629.849,"0,008136336556"
412757,46085,"8,956428339",195204,845973,"0,2307449529",216586,845973,"0,2560199912",1271,845973,"0,001502412016",8709,845973,"0,01029465479"
120569,13462,"8,956247214",57021,275789,"0,2067558895",85920,275789,"0,3115425198",1149,275789,"0,00416622853",8222,275789,"0,02981264662"
86232,9606,"8,976889444",40687,201906,"0,2015145662",77277,201906,"0,3827375115",511,201906,"0,002530880707",6417,201906,"0,03178211643"
56112,6254,"8,972177806",26491,113326,"0,2337592432",57364,113326,"0,5061856944",391,113326,"0,00345022325",3517,113326,"0,03103436105"
73549,154789,"0,4751565034",#REF!,#REF!,#REF!,19876,#REF!,#REF!,1371,#REF!,#REF!,498,#REF!,#REF!
15647,12335,"1,268504256",#REF!,#REF!,#REF!,5245,#REF!,#REF!,1041,#REF!,#REF!,471,#REF!,#REF!
15648,7887,"1,984024344",#REF!,#REF!,#REF!,72,#REF!,#REF!,568,#REF!,#REF!,245,#REF!,#REF!
2548,5421,"0,4700239808",#REF!,#REF!,#REF!,2700,#REF!,#REF!,2747,#REF!,#REF!,1386,#REF!,#REF!
2540,468,"5,427350427",#REF!,#REF!,#REF!,467,#REF!,#REF!,97,#REF!,#REF!,58,#REF!,#REF!
418947,,#DIV/0!,508386,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!
278.066,263.111,"1,056839129",,579.015,0,,579.015,0,,579.015,0,,579.015,0
